Hours,Power (kW),Reactive (kVAr),Demand (kVA),Powerfactor,Consumption (kWh)
143,516,168.8,542.9,0.95,516
144,518.5,160.5,542.7,0.955,518.7
145,509.8,140.6,528.8,0.964,510
146,516,140.6,534.8,0.965,516
147,520.9,140.3,539.5,0.966,520.9
148,511.3,144.9,531.5,0.962,511.6
149,508.6,142.1,528,0.963,508.6
150,532.9,156.5,555.4,0.96,532.9
151,586.3,190.4,616.4,0.951,586.3
152,583.9,192.6,614.8,0.95,583.9
153,582.8,192.5,613.7,0.95,582.8
154,574.3,186.7,603.9,0.951,574.3
155,480.5,33.1,481.7,0.998,480.5
156,491.7,66.6,496.2,0.991,491.7
157,580.1,193.1,611.4,0.949,580.1
158,581.3,177.8,607.9,0.956,581.3
159,413.2,-21.5,413.8,0.999,442.5
160,515.2,100.1,524.8,0.982,515.2
161,551.7,183.8,581.5,0.949,551.7
162,553.9,180.3,582.5,0.951,553.9
163,524.8,172.9,552.6,0.95,524.8
164,540.5,182.6,570.5,0.947,540.5
165,396.9,-27.5,397.8,0.998,396.9
166,446,64.2,450.6,0.99,446
167,516.6,158.7,540.5,0.956,516.6
168,452.4,142.2,474.2,0.954,511.2
169,509.5,151.5,531.6,0.959,509.5
170,497.3,144.2,517.8,0.96,497.3
171,493.7,135.7,512,0.964,493.7
172,515.6,134.1,532.7,0.968,515.6
173,503,121.2,517.4,0.972,503
174,497.9,119,511.9,0.973,497.9
175,468.3,44.5,470.4,0.996,468.3
176,490.3,118.2,504.3,0.972,527.2
177,531.4,148.5,551.7,0.963,532.1
178,440.4,-22,441,0.999,440.4
179,434.2,-29.4,435.2,0.998,434.2
180,420.2,-46.4,422.8,0.994,420.2
181,401.1,-69.7,407.1,0.985,401.1
182,410.5,-27.8,411.5,0.998,410.5
183,409.9,-26.1,410.7,0.998,409.2
184,411.1,-46.4,413.8,0.994,411.1
185,466.8,109.1,479.4,0.974,467.3
186,514.1,155.1,537,0.957,514.1
187,527.5,159.7,551.1,0.957,527.5
188,523.8,163,548.6,0.955,523.8
189,503.4,146.9,524.4,0.96,503.4
190,505.3,141.3,524.7,0.963,505.3
191,499.5,143.8,519.8,0.961,499.5
192,494.4,147.3,515.9,0.958,494.4
193,486.2,144.2,507.1,0.959,486.2
194,484.4,142.7,504.9,0.959,484.4
195,495.9,148.5,517.7,0.958,495.9
196,511.4,155.4,534.5,0.957,511.4
197,509.4,149.3,530.9,0.96,509.4
198,511.6,147.9,532.5,0.961,511.6
199,545.2,161.2,568.6,0.959,545.2
200,436.6,-29.7,437.6,0.998,436.6
201,417.7,-56.7,421.5,0.991,417.7
202,388,-31.5,389.3,0.997,388
203,395.4,-15.7,395.7,0.999,394.7
204,403.8,-26.7,404.7,0.998,403.6
205,458.4,34.6,459.7,0.997,497.1
206,563.6,185.3,593.3,0.95,563.6
207,472.7,42.7,474.7,0.996,472.7
208,480.9,110.6,493.4,0.975,516.4
209,526,154.2,548.2,0.96,526
210,480.6,147.6,502.8,0.956,515.4
211,524.4,181.7,555,0.945,524.4
212,504.5,162.3,529.9,0.952,504.7
213,497.3,175,527.2,0.943,532.6
214,480.9,146.5,502.7,0.957,515.5
215,449.4,149.6,473.7,0.949,518.8
216,513.1,165.7,539.2,0.952,513.1
217,500.8,140.9,520.2,0.963,500.8
218,519.6,160,543.7,0.956,519.6
219,508.1,145.7,528.6,0.961,508.1
220,500.6,131.7,517.6,0.967,500.6
221,488.5,129.2,505.3,0.967,488.5
222,535.8,146.1,555.4,0.965,535.8
223,478.7,108.4,490.8,0.975,513.7
224,459,-6,459,1,459
225,471.5,21,472,0.999,471.5
226,555.9,155,577.1,0.963,555.9
227,589.5,187.2,618.5,0.953,589.5
228,590.5,188,619.7,0.953,590.5
229,584.5,185.8,613.4,0.953,584.5
230,571.7,169.1,596.2,0.959,571.7
231,560.5,166.2,584.6,0.959,560.5
232,520.9,142.1,540,0.965,520.9
233,487.9,102.8,498.6,0.979,487.9
234,493.1,118.5,507.2,0.972,493.1
235,500.6,135,518.5,0.966,500.6
